Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
76,3.0,0.0,0.0,1823.0,16.0,74.0,5563.0,0.1,38.30500000000002,0.0,0.0,659.8968257904053,,,,,,,,,,,,,,,,,,,,,14.09091339096421,10.705146923942998,37.33690888993963,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1899.0,17.0,76.0,5639.0,0.1,35.70500000000003,0.0,0.0,665.3963921070099,,,,,,,,,,,,,,,,,,,,,14.445518107023906,9.890217623599028,34.676458865137604,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1929.0,18.0,30.0,5669.0,0.1,12.405999999999993,0.0,0.0,667.8480355739594,,,,,,,,,,,,,,,,,,,,,3.4709491476222514,4.134336683634658,12.326512223506123,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1959.0,19.0,30.0,5699.0,0.1,14.605999999999995,0.0,0.0,670.5247323513031,,,,,,,,,,,,,,,,,,,,,4.526846200680931,4.98353255297366,14.499178471744592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,2026.0,20.0,67.0,5766.0,0.1,43.606,0.0,0.0,675.4724895954132,,,,,,,,,,,,,,,,,,,,,15.430384859247308,14.271585694628593,42.657436429853696,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,79.0,1.0,79.0,5845.0,0.1,45.806999999999995,0.0,0.0,819.5884528160095,,,,,,,,,,,,,,,,,,,,,18.836089411398728,13.85221854311197,44.407719968716975,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,309.0,2.0,230.0,6075.0,0.1,176.10699999999989,0.0,0.0,835.4094748497009,,,,,,,,,,,,,,,,,,,,,71.09366581727033,50.58607359333363,160.07544768194415,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,0.0,425.0,3.0,116.0,6191.0,0.1,94.20599999999999,0.0,0.0,843.520810842514,,,,,,,,,,,,,,,,,,,,,40.21384929606837,28.382858077428743,89.72054485081284,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,0.0,470.0,4.0,45.0,6236.0,0.1,25.90700000000002,0.0,0.0,846.9398908615112,,,,,,,,,,,,,,,,,,,,,8.4858334231894,8.753749050968505,25.576264448589207,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,0.0,588.0,5.0,118.0,6354.0,0.1,64.906,0.0,0.0,855.2236633300781,,,,,,,,,,,,,,,,,,,,,23.766338344838555,17.680037738478152,62.225961772893086,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,0.0,637.0,6.0,49.0,6403.0,0.1,31.705000000000016,0.0,0.0,859.1417853832245,,,,,,,,,,,,,,,,,,,,,12.096813945698107,10.321073217559336,31.17457409026724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,0.0,805.0,7.0,168.0,6571.0,0.1,120.20599999999996,0.0,0.0,871.0010600090027,,,,,,,,,,,,,,,,,,,,,49.47051507285352,33.65846668018571,112.11907950769653,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4.0,0.0,0.0,863.0,8.0,58.0,6629.0,0.1,34.105999999999995,0.0,0.0,875.2925989627838,,,,,,,,,,,,,,,,,,,,,12.825598495210453,10.520192724327668,33.42893973781369,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4.0,0.0,0.0,898.0,9.0,35.0,6664.0,0.1,18.30600000000002,0.0,0.0,877.9360916614532,,,,,,,,,,,,,,,,,,,,,5.763907999536905,6.239388493350896,18.14052613175359,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4.0,0.0,0.0,978.0,10.0,80.0,6744.0,0.1,59.606,0.0,0.0,883.7288706302643,,,,,,,,,,,,,,,,,,,,,23.048324298095242,19.397147412510044,57.877831842004554,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4.0,0.0,0.0,1041.0,11.0,63.0,6807.0,0.1,44.407,0.0,0.0,888.4176325798035,,,,,,,,,,,,,,,,,,,,,16.601117421424888,14.765402505551219,43.44798211870553,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4.0,0.0,0.0,1092.0,12.0,51.0,6858.0,0.1,32.406,0.0,0.0,892.2532098293304,,,,,,,,,,,,,,,,,,,,,11.374200878206757,10.873904626478264,31.88966319193213,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4.0,0.0,0.0,1196.0,13.0,104.0,6962.0,0.1,74.60599999999994,0.0,0.0,899.5809409618378,,,,,,,,,,,,,,,,,,,,,27.658279042133838,23.872260769811334,71.87321353347153,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4.0,0.0,0.0,1425.0,14.0,229.0,7191.0,0.1,131.60499999999988,0.0,0.0,915.4942305088043,,,,,,,,,,,,,,,,,,,,,58.108130448536684,34.576206981272406,118.53518997203929,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4.0,0.0,0.0,1629.0,15.0,204.0,7395.0,0.1,91.00799999999992,0.0,0.0,929.9454865455627,,,,,,,,,,,,,,,,,,,,,36.68143077775272,24.71818633105363,83.69228900706361,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4.0,0.0,0.0,1708.0,16.0,79.0,7474.0,0.1,55.605999999999995,0.0,0.0,935.8960978984833,,,,,,,,,,,,,,,,,,,,,22.096386235959823,17.05717648417504,53.96826805520153,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4.0,0.0,0.0,1768.0,17.0,60.0,7534.0,0.1,38.007999999999996,0.0,0.0,940.3032913208008,,,,,,,,,,,,,,,,,,,,,13.091535994558784,12.671790988220089,37.29706467260703,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4.0,0.0,0.0,1803.0,18.0,35.0,7569.0,0.1,12.207999999999991,0.0,0.0,943.0183119773865,,,,,,,,,,,,,,,,,,,,,3.055412656928897,3.8685742774242877,12.125299029767996,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4.0,0.0,0.0,1912.0,19.0,109.0,7678.0,0.1,75.50599999999997,0.0,0.0,950.9027278423309,,,,,,,,,,,,,,,,,,,,,31.15645820588282,22.383600129147815,72.25438256630883,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.0,0.0,0.0,1979.0,20.0,67.0,7745.0,0.1,41.307,0.0,0.0,955.8285219669342,,,,,,,,,,,,,,,,,,,,,14.455990107984235,13.389854706770878,40.4192467369923,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5.0,0.0,0.0,221.0,1.0,221.0,7966.0,0.1,136.913,0.0,0.0,1108.831235408783,,,,,,,,,,,,,,,,,,,,,64.4154465423225,38.599518680684426,122.92290920965692,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,5.0,0.0,0.0,400.0,2.0,179.0,8145.0,0.1,123.7059999999999,0.0,0.0,1121.364001750946,,,,,,,,,,,,,,,,,,,,,49.51374839582515,34.78090723250359,115.07307010428575,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,5.0,0.0,0.0,516.0,3.0,116.0,8261.0,0.1,78.805,0.0,0.0,1129.5069117546082,,,,,,,,,,,,,,,,,,,,,31.488762394972092,22.372034742796718,75.30283392720372,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,5.0,0.0,0.0,579.0,4.0,63.0,8324.0,0.1,50.504999999999995,0.0,0.0,1134.0649526119232,,,,,,,,,,,,,,,,,,,,,21.15250608360129,16.35190574172474,49.27088461507867,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5.0,0.0,0.0,646.0,5.0,67.0,8391.0,0.1,29.906000000000027,0.0,0.0,1139.1988990306854,,,,,,,,,,,,,,,,,,,,,9.969615058923106,8.996702704168216,29.296599693840147,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5.0,0.0,0.0,825.0,6.0,179.0,8570.0,0.1,132.80599999999998,0.0,0.0,1151.7953321933746,,,,,,,,,,,,,,,,,,,,,57.7905696575229,37.911849775058684,122.70677888228907,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5.0,0.0,0.0,916.0,7.0,91.0,8661.0,0.1,68.80399999999997,0.0,0.0,1158.334350824356,,,,,,,,,,,,,,,,,,,,,29.168545210762755,21.26447882412952,66.28216042450919,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,5.0,0.0,0.0,1034.0,8.0,118.0,8779.0,0.1,69.50599999999997,0.0,0.0,1166.7494559288025,,,,,,,,,,,,,,,,,,,,,28.92639779863127,20.174401086447382,66.22506897263781,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5.0,0.0,0.0,1142.0,9.0,108.0,8887.0,0.1,58.40600000000003,0.0,0.0,1174.3843071460724,,,,,,,,,,,,,,,,,,,,,21.537258713644764,16.233117228662408,56.192304475573074,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,5.0,0.0,0.0,1177.0,10.0,35.0,8922.0,0.1,15.005999999999993,0.0,0.0,1177.1539208889008,,,,,,,,,,,,,,,,,,,,,4.3064244712505975,4.899787407179105,14.88503031911414,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5.0,0.0,0.0,1274.0,11.0,97.0,9019.0,0.1,75.90799999999999,0.0,0.0,1184.1245312690735,,,,,,,,,,,,,,,,,,,,,30.254471835949666,24.26363394386875,73.119482076584,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5.0,0.0,0.0,1505.0,12.0,231.0,9250.0,0.1,167.20599999999993,0.0,0.0,1200.1229891777039,,,,,,,,,,,,,,,,,,,,,67.96144374749717,44.44907645651187,151.81037543482245,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5.0,0.0,0.0,1711.0,13.0,206.0,9456.0,0.1,128.80599999999987,0.0,0.0,1214.4759674072266,,,,,,,,,,,,,,,,,,,,,54.1825205239189,34.85704035326288,117.88004297798574,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5.0,0.0,0.0,1884.0,14.0,173.0,9629.0,0.1,136.206,0.0,0.0,1226.7289288043976,,,,,,,,,,,,,,,,,,,,,57.36733138999465,38.8834398270384,126.53439392298306,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,5.0,0.0,0.0,2120.0,15.0,236.0,9865.0,0.1,172.00499999999997,0.0,0.0,1243.2287867069244,,,,,,,,,,,,,,,,,,,,,72.87051519356977,47.034485319535314,155.1176385738267,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,5.0,0.0,0.0,2170.0,16.0,50.0,9915.0,0.1,28.008000000000024,0.0,0.0,1247.0746557712555,,,,,,,,,,,,,,,,,,,,,8.92663916984479,9.351805038791278,27.616874172979546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,5.0,0.0,0.0,2217.0,17.0,47.0,9962.0,0.1,28.206000000000017,0.0,0.0,1250.7223887443542,,,,,,,,,,,,,,,,,,,,,10.288847585862602,9.375806647300383,27.777952290092358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5.0,0.0,0.0,2361.0,18.0,144.0,10106.0,0.1,112.707,0.0,0.0,1260.9617614746094,,,,,,,,,,,,,,,,,,,,,50.99912947322154,33.415369042734056,105.57416811792385,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,5.0,0.0,0.0,2541.0,19.0,180.0,10286.0,0.1,144.50799999999998,0.0,0.0,1273.4896490573883,,,,,,,,,,,,,,,,,,,,,59.62153722273161,41.452462122367294,134.0440774106522,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5.0,0.0,0.0,2723.0,20.0,182.0,10468.0,0.1,106.00499999999997,0.0,0.0,1286.2207560539246,,,,,,,,,,,,,,,,,,,,,43.33522370058299,26.937139324502862,98.31452001199794,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,6.0,0.0,0.0,249.0,1.0,249.0,10717.0,0.1,169.30799999999996,0.0,0.0,1485.4818904399872,,,,,,,,,,,,,,,,,,,,,71.595273857045,47.16142627965663,151.78419341222704,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,6.0,0.0,0.0,332.0,2.0,83.0,10800.0,0.1,40.20500000000002,0.0,0.0,1491.6448435783386,,,,,,,,,,,,,,,,,,,,,13.992497366508045,12.429849547617813,39.12182725125509,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6.0,0.0,0.0,571.0,3.0,239.0,11039.0,0.1,154.4059999999998,0.0,0.0,1508.3914029598236,,,,,,,,,,,,,,,,,,,,,60.52924718484865,40.362655836370685,140.21980932165528,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,6.0,0.0,0.0,668.0,4.0,97.0,11136.0,0.1,64.80699999999999,0.0,0.0,1515.2375075817108,,,,,,,,,,,,,,,,,,,,,25.78164786742015,19.655326799272263,62.430979685251074,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,6.0,0.0,0.0,945.0,5.0,277.0,11413.0,0.1,159.4049999999998,0.0,0.0,1534.3951466083527,,,,,,,,,,,,,,,,,,,,,64.519394901433,41.818261673792065,141.81661903375146,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,6.0,0.0,0.0,1013.0,6.0,68.0,11481.0,0.1,42.205,0.0,0.0,1539.3745057582855,,,,,,,,,,,,,,,,,,,,,16.843664225476886,12.788202204616127,41.141873437669474,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,6.0,0.0,0.0,1136.0,7.0,123.0,11604.0,0.1,79.00599999999989,0.0,0.0,1548.3277575969696,,,,,,,,,,,,,,,,,,,,,28.607132776597638,23.289944306295776,75.6385240781106,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6.0,0.0,0.0,1288.0,8.0,152.0,11756.0,0.1,78.40599999999999,0.0,0.0,1559.0184953212738,,,,,,,,,,,,,,,,,,,,,36.32608485524296,21.88846664408591,73.03042291741502,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,6.0,0.0,0.0,1720.0,9.0,432.0,12188.0,0.1,273.4180000000001,0.0,0.0,1588.8068399429321,,,,,,,,,,,,,,,,,,,,,111.58130505120135,63.09673772375872,225.66598251693244,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,6.0,0.0,0.0,2006.0,10.0,286.0,12474.0,0.1,233.70499999999996,0.0,0.0,1608.4556577205658,,,,,,,,,,,,,,,,,,,,,96.95179718464692,62.575859494616026,206.38935833249778,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,6.0,0.0,0.0,2176.0,11.0,170.0,12644.0,0.1,123.70599999999999,0.0,0.0,1620.6679954528809,,,,,,,,,,,,,,,,,,,,,51.170062053775304,34.70385982029417,115.23744911163236,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,6.0,0.0,0.0,2509.0,12.0,333.0,12977.0,0.1,234.10499999999982,0.0,0.0,1643.6718227863312,,,,,,,,,,,,,,,,,,,,,95.25936034979532,61.03227659523017,202.78900823097192,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6.0,0.0,0.0,2688.0,13.0,179.0,13156.0,0.1,88.61999999999989,0.0,0.0,1656.0296740531921,,,,,,,,,,,,,,,,,,,,,32.06854759233223,24.290421169411,83.04573841205826,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,6.0,0.0,0.0,2750.0,14.0,62.0,13218.0,0.1,45.705999999999996,0.0,0.0,1660.6106746196747,,,,,,,,,,,,,,,,,,,,,17.818652379928626,15.081942032264282,44.690580021908225,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,6.0,0.0,0.0,2787.0,15.0,37.0,13255.0,0.1,18.40600000000002,0.0,0.0,1663.4556732177734,,,,,,,,,,,,,,,,,,,,,5.635869565125465,6.1590018089363,18.233922437042008,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,6.0,0.0,0.0,2864.0,16.0,77.0,13332.0,0.1,50.705000000000005,0.0,0.0,1669.1521573066711,,,,,,,,,,,,,,,,,,,,,18.9869035382417,15.955181718238792,49.34164237065434,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,6.0,0.0,0.0,3003.0,17.0,139.0,13471.0,0.1,98.30499999999998,0.0,0.0,1679.139836549759,,,,,,,,,,,,,,,,,,,,,41.253826507223906,28.67978663320851,92.7561376346275,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,6.0,0.0,0.0,3073.0,18.0,70.0,13541.0,0.1,44.20500000000001,0.0,0.0,1684.2210001945496,,,,,,,,,,,,,,,,,,,,,15.107768575875054,14.515585909166274,43.23388072726253,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,6.0,0.0,0.0,3431.0,19.0,358.0,13899.0,0.1,270.405,0.0,0.0,1709.0717542171478,,,,,,,,,,,,,,,,,,,,,118.7188236584365,70.1234972380629,228.36015307627935,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6.0,0.0,0.0,3725.0,20.0,294.0,14193.0,0.1,237.507,0.0,0.0,1729.4158108234406,,,,,,,,,,,,,,,,,,,,,106.56761039916353,62.44759415023523,206.58909414183552,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,7.0,0.0,0.0,288.0,1.0,288.0,14481.0,0.1,186.90599999999995,0.0,0.0,2066.3682038784027,,,,,,,,,,,,,,,,,,,,,80.86608670746449,48.18870949204676,163.94429166729327,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,7.0,0.0,0.0,472.0,2.0,184.0,14665.0,0.1,136.90699999999998,0.0,0.0,2079.252664089203,,,,,,,,,,,,,,,,,,,,,58.50938081560846,39.08043882713165,126.39393540680629,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,7.0,0.0,0.0,589.0,3.0,117.0,14782.0,0.1,84.10599999999994,0.0,0.0,2087.5912063121796,,,,,,,,,,,,,,,,,,,,,32.469319713363326,25.245925434521222,80.46794501562273,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,7.0,0.0,0.0,818.0,4.0,229.0,15011.0,0.1,133.218,0.0,0.0,2103.509482860565,,,,,,,,,,,,,,,,,,,,,62.75990887882275,34.387126829097554,119.08402984240462,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,7.0,0.0,0.0,970.0,5.0,152.0,15163.0,0.1,97.6049999999999,0.0,0.0,2114.186106443405,,,,,,,,,,,,,,,,,,,,,39.54873343129343,27.997044164747088,91.7770548510907,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,7.0,0.0,0.0,1151.0,6.0,181.0,15344.0,0.1,102.30599999999978,0.0,0.0,2126.8791410923004,,,,,,,,,,,,,,,,,,,,,42.87757217662531,27.229792843643573,94.73453376903512,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,7.0,0.0,0.0,1220.0,7.0,69.0,15413.0,0.1,51.705999999999996,0.0,0.0,2131.935153722763,,,,,,,,,,,,,,,,,,,,,20.327940851530553,16.888759539769037,50.40412993698844,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,7.0,0.0,0.0,1256.0,8.0,36.0,15449.0,0.1,14.606999999999992,0.0,0.0,2134.776227235794,,,,,,,,,,,,,,,,,,,,,3.978562431138906,4.737728570755746,14.49274274522671,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,7.0,0.0,0.0,1547.0,9.0,291.0,15740.0,0.1,227.80499999999992,0.0,0.0,2155.069524049759,,,,,,,,,,,,,,,,,,,,,93.41390854847825,62.01231878205534,201.02339838576628,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,7.0,0.0,0.0,1674.0,10.0,127.0,15867.0,0.1,74.10599999999997,0.0,0.0,2164.4573171138763,,,,,,,,,,,,,,,,,,,,,28.456075083900654,20.70603291203704,70.6332743798299,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,7.0,0.0,0.0,1979.0,11.0,305.0,16172.0,0.1,168.32399999999976,0.0,0.0,2185.5212881565094,,,,,,,,,,,,,,,,,,,,,63.4997244015147,39.96510053455608,149.25494469197739,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,7.0,0.0,0.0,2338.0,12.0,359.0,16531.0,0.1,263.80500000000006,0.0,0.0,2210.232192516327,,,,,,,,,,,,,,,,,,,,,118.6457482032829,68.49159487055893,221.65426326729286,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,7.0,0.0,0.0,2523.0,13.0,185.0,16716.0,0.1,146.7059999999999,0.0,0.0,2223.0432052612305,,,,,,,,,,,,,,,,,,,,,58.29296671318319,43.07754771492454,136.19405307014833,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,7.0,0.0,0.0,2734.0,14.0,211.0,16927.0,0.1,150.60599999999997,0.0,0.0,2237.7855503559113,,,,,,,,,,,,,,,,,,,,,63.78751615239275,41.521014800679424,137.4215397498051,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,7.0,0.0,0.0,2799.0,15.0,65.0,16992.0,0.1,31.30500000000003,0.0,0.0,2242.6511857509613,,,,,,,,,,,,,,,,,,,,,12.116109569112876,8.831329682823727,30.578579458344905,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,7.0,0.0,0.0,2870.0,16.0,71.0,17063.0,0.1,53.205999999999996,0.0,0.0,2247.855737924576,,,,,,,,,,,,,,,,,,,,,21.466424051760328,17.08802292490417,51.7854029127476,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,7.0,0.0,0.0,2969.0,17.0,99.0,17162.0,0.1,63.208,0.0,0.0,2254.92551779747,,,,,,,,,,,,,,,,,,,,,23.314512952123014,19.171571065845182,61.02184588766929,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,7.0,0.0,0.0,3042.0,18.0,73.0,17235.0,0.1,46.906,0.0,0.0,2260.284203529358,,,,,,,,,,,,,,,,,,,,,17.70012456582724,14.521820884827882,45.70525571286463,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,7.0,0.0,0.0,4010.0,19.0,968.0,18203.0,0.1,772.805,0.0,0.0,2326.7977340221405,,,,,,,,,,,,,,,,,,,,,286.5947384808942,140.62117262879266,496.37354386467945,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,7.0,0.0,0.0,4105.0,20.0,95.0,18298.0,0.1,62.40800000000001,0.0,0.0,2333.493438243866,,,,,,,,,,,,,,,,,,,,,21.535379507571374,20.22897570843842,60.48304455284186,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,8.0,0.0,0.0,252.0,1.0,252.0,18550.0,0.1,181.408,0.0,0.0,2656.0212874412537,,,,,,,,,,,,,,,,,,,,,82.9312753123936,50.024441188625715,160.83081942931616,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,8.0,0.0,0.0,301.0,2.0,49.0,18599.0,0.1,28.507000000000023,0.0,0.0,2659.8050713539124,,,,,,,,,,,,,,,,,,,,,9.35988383310027,9.56505925793908,28.104546680993394,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,8.0,0.0,0.0,427.0,3.0,126.0,18725.0,0.1,86.80799999999999,0.0,0.0,2668.827237844467,,,,,,,,,,,,,,,,,,,,,34.515065662705695,25.508340190653957,82.6242676375065,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,8.0,0.0,0.0,843.0,4.0,416.0,19141.0,0.1,267.81500000000005,0.0,0.0,2697.4862763881683,,,,,,,,,,,,,,,,,,,,,110.31691444136153,70.86196348758203,222.36767657787263,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,8.0,0.0,0.0,1055.0,5.0,212.0,19353.0,0.1,126.70699999999985,0.0,0.0,2712.133961200714,,,,,,,,,,,,,,,,,,,,,51.74546493637163,32.245376476905925,115.96878303076777,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,8.0,0.0,0.0,1145.0,6.0,90.0,19443.0,0.1,53.20400000000002,0.0,0.0,2718.576857328415,,,,,,,,,,,,,,,,,,,,,19.65161764504079,15.278138550845657,51.538379632832374,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,8.0,0.0,0.0,1390.0,7.0,245.0,19688.0,0.1,143.60699999999989,0.0,0.0,2735.799901008606,,,,,,,,,,,,,,,,,,,,,59.48378967333145,39.970678149616454,129.29192609028846,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
