Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,834.0,18.0,36.0,834.0,0.1,15.805999999999994,0.0,0.0,58.80123233795166,,,,,,,,,,,,,,,,,,,,,4.810116173549238,5.105119847040494,15.66414845050479,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,863.0,19.0,29.0,863.0,0.1,12.404999999999994,0.0,0.0,61.129748582839966,,,,,,,,,,,,,,,,,,,,,3.5896174274458836,4.153636832658395,12.325539848761746,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,904.0,20.0,41.0,904.0,0.1,18.206000000000024,0.0,0.0,64.26398158073425,,,,,,,,,,,,,,,,,,,,,5.27882191468173,5.861182472991931,18.02560147885428,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,81.0,1.0,81.0,985.0,0.1,45.407000000000004,0.0,0.0,132.7458758354187,,,,,,,,,,,,,,,,,,,,,16.37821678338262,13.551707586854564,44.16865758706253,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,111.0,2.0,30.0,1015.0,0.1,12.904999999999994,0.0,0.0,135.40384817123413,,,,,,,,,,,,,,,,,,,,,3.764207471843464,4.293040056726128,12.817696350850047,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,186.0,3.0,75.0,1090.0,0.1,56.306999999999995,0.0,0.0,140.93919157981873,,,,,,,,,,,,,,,,,,,,,21.999965132176893,18.36953786636739,54.766480810226376,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,221.0,4.0,35.0,1125.0,0.1,16.40600000000001,0.0,0.0,143.66289687156677,,,,,,,,,,,,,,,,,,,,,4.8879303702284345,5.463539867734177,16.267441051704367,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,370.0,5.0,149.0,1274.0,0.1,64.2060000000001,0.0,0.0,154.154798746109,,,,,,,,,,,,,,,,,,,,,21.45569477493061,16.039133025365235,61.131302953138665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,415.0,6.0,45.0,1319.0,0.1,29.206000000000017,0.0,0.0,157.51421737670898,,,,,,,,,,,,,,,,,,,,,10.503931260525167,9.910491560654059,28.790876054509337,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,465.0,7.0,50.0,1369.0,0.1,25.108000000000025,0.0,0.0,161.29395842552185,,,,,,,,,,,,,,,,,,,,,7.586090100801626,8.164193607739355,24.778227171074896,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,519.0,8.0,54.0,1423.0,0.1,23.40900000000003,0.0,0.0,165.374103307724,,,,,,,,,,,,,,,,,,,,,6.6220095327436255,7.321600287823646,23.097583554757804,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,599.0,9.0,80.0,1503.0,0.1,33.406000000000034,0.0,0.0,171.17655658721924,,,,,,,,,,,,,,,,,,,,,12.408397626646774,8.726030293653592,32.47825221604815,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,644.0,10.0,45.0,1548.0,0.1,18.30800000000003,0.0,0.0,174.57982754707336,,,,,,,,,,,,,,,,,,,,,5.038477150319327,5.7644952377406735,18.11748538151328,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,726.0,11.0,82.0,1630.0,0.1,37.80700000000002,0.0,0.0,180.4589126110077,,,,,,,,,,,,,,,,,,,,,13.861738155870945,10.270167951060555,36.74378830403836,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,802.0,12.0,76.0,1706.0,0.1,53.107,0.0,0.0,185.93541383743286,,,,,,,,,,,,,,,,,,,,,19.553670635018882,17.39887754227192,51.72431794330725,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,838.0,13.0,36.0,1742.0,0.1,17.90600000000002,0.0,0.0,188.76820302009583,,,,,,,,,,,,,,,,,,,,,5.465533672612118,6.025904584630974,17.744712468009517,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,884.0,14.0,46.0,1788.0,0.1,20.707000000000026,0.0,0.0,192.4433777332306,,,,,,,,,,,,,,,,,,,,,6.054059924485402,6.59798868580607,20.46943163731667,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,928.0,15.0,44.0,1832.0,0.1,22.507000000000023,0.0,0.0,195.76071500778198,,,,,,,,,,,,,,,,,,,,,6.901368979179778,7.443874652225441,22.247813143389727,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1009.0,16.0,81.0,1913.0,0.1,51.806000000000004,0.0,0.0,201.70318937301636,,,,,,,,,,,,,,,,,,,,,19.722753405881797,15.47318676136286,50.30902471452796,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1072.0,17.0,63.0,1976.0,0.1,45.306999999999995,0.0,0.0,206.33098578453064,,,,,,,,,,,,,,,,,,,,,17.233026159858365,15.031570984280233,44.30989483169749,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1098.0,18.0,26.0,2002.0,0.1,11.604999999999995,0.0,0.0,208.47896242141724,,,,,,,,,,,,,,,,,,,,,3.549314814806636,3.9489209603131825,11.535777834706607,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1138.0,19.0,40.0,2042.0,0.1,19.50600000000002,0.0,0.0,211.58826661109924,,,,,,,,,,,,,,,,,,,,,5.921939595629597,6.421915847958834,19.307718545547367,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1217.0,20.0,79.0,2121.0,0.1,48.304,0.0,0.0,217.31007552146912,,,,,,,,,,,,,,,,,,,,,19.069373732985795,14.146058317306819,46.891255094027095,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,99.0,1.0,99.0,2220.0,0.1,57.00600000000002,0.0,0.0,306.12698006629944,,,,,,,,,,,,,,,,,,,,,21.327303928667614,16.42919391544352,55.00455100852798,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
